번호,시도,시군구,품목,부부 가족 경영규모,평균투자비(3년합계),연간운영비/년(운영),평균수입/년(부부인건비 포함),평균농지가격(3.3㎡)
1,경상남도,합천군,과일과채류 > 딸기 > 딸기(시설딸기),3300(㎡),22000000(원),68000000(원),25000000(원),2500(원)/50000(원)
2,경상남도,합천군,조미채소류 > 마늘 > 마늘,4000(㎡),17000000(원),23000000(원),12000000(원),2500(원)/50000(원)
3,경상남도,합천군,조미채소류 > 양파 > 양파(일반),4000(㎡),13000000(원),22000000(원),10000000(원),2500(원)/50000(원)
4,경상남도,남해군,조미채소류 > 마늘 > 마늘,1000(㎡),23700000(원),5614138(원),5940734(원),911(원)/36308(원)
5,경상남도,고성군,과일과채류 > 토마토 > 토마토(시설),4000(㎡),200000000(원),60000000(원),120000000(원),2000(원)/100000(원)
6,경상남도,의령군,과실류 > 블루베리 > 블루베리(일반),1320(㎡),18000000(원),2300000(원),12000000(원),700(원)/100000(원)
7,경상남도,의령군,엽경채류 > 부추 > 일반부추,12000(㎡),230000000(원),45000000(원),81000000(원),700(원)/100000(원)
8,경상남도,의령군,과채류 > 호박 > 쥬키니호박,6000(㎡),138000000(원),21000000(원),32000000(원),700(원)/100000(원)
9,경상남도,의령군,과일과채류 > 수박 > 수박(일반),5000(㎡),73000000(원),10000000(원),25000000(원),700(원)/100000(원)
10,경상남도,양산시,과실류 > 사과 > 사과(기타),2000(㎡),25000000(원),10000000(원),30000000(원),2000(원)/250000(원)
11,경상남도,양산시,과일과채류 > 딸기 > 딸기(기타),2000(㎡),27000000(원),10000000(원),32000000(원),2000(원)/250000(원)
12,경상남도,양산시,과실류 > 매실 > 매실(일반),2000(㎡),21000000(원),10000000(원),25000000(원),2000(원)/250000(원)
13,경상남도,밀양시,미곡류 > 쌀 > 쌀(기타),9559(㎡),0(원),15928000(원),21996000(원),3000(원)/250000(원)
14,경상남도,밀양시,과일과채류 > 딸기 > 딸기(기타),7024(㎡),0(원),19198000(원),30028000(원),3000(원)/250000(원)
15,경상남도,밀양시,과실류 > 사과 > 사과(기타),4254(㎡),0(원),27869000(원),30192000(원),3000(원)/250000(원)
16,경상남도,밀양시,조미채소류 > 풋고추 > 고추(시설),3933(㎡),0(원),67848000(원),55512000(원),3000(원)/250000(원)
17,경상남도,김해시,과일과채류 > 참외 > 참외(시설),3630(㎡),40000000(원),9000000(원),24000000(원),3000(원)/450000(원)
18,경상남도,김해시,과일과채류 > 딸기 > 딸기(시설딸기),5940(㎡),52000000(원),33000000(원),90000000(원),3000(원)/450000(원)
19,경상남도,사천시,과일과채류 > 토마토 > 토마토(일반),3000(㎡),42500000(원),15873214(원),2598742(원),400(원)/55200(원)
20,경상남도,사천시,과일과채류 > 딸기 > 딸기(기타),3000(㎡),30000000(원),11329886(원),21507859(원),200(원)/18000(원)
21,경상남도,사천시,과실류 > 단감 > 감(기타),3000(㎡),5500000(원),2126832(원),4558909(원),400(원)/38500(원)
22,경상남도,사천시,과실류 > 참다래(키위) > 참다래(키위)일반,3000(㎡),4000000(원),1426034(원),3253609(원),300(원)/32500(원)
23,경상남도,통영시,서류 > 고구마 > 고구마(기타),2640(㎡),2020000(원),2450000(원),7000000(원),7000(원)/300000(원)
24,경상남도,통영시,엽경채류 > 시금치 > 시금치(일반),1300(㎡),550000(원),800000(원),3100000(원),7000(원)/300000(원)
25,경상남도,진주시,조미채소류 > 풋고추 > 고추(시설),4000(㎡),100000000(원),30000000(원),50000000(원),12000(원)/250000(원)
26,경상남도,진주시,과채류 > 호박 > 시설호박,4000(㎡),100000000(원),30000000(원),40000000(원),12000(원)/250000(원)
27,경상남도,진주시,과일과채류 > 딸기 > 딸기(시설딸기),4000(㎡),120000000(원),35000000(원),60000000(원),12000(원)/250000(원)
